slug,tier,year,journal,title,authors,doi,url
francois-manchin-2013-wd,B,2013,World Development,"Institutions, Infrastructure, and Trade",Joseph François; manchin-miriam,10.1016/j.worlddev.2013.02.009,https://doi.org/10.1016/j.worlddev.2013.02.009
elekes-2023-cjres,C,2023,"Cambridge Journal of Regions, Economy and Society",Regional diversification and labour market upgrading: local access to skill-related high-income jobs helps workers escaping low-wage employment,elekes-zoltan,,
barath-bokusheva-ferto-2017-easternee,C,2017,Eastern European Economics,Demand for farm insurance under financial constraints,barath-lajos; Raushan Bokusheva; ferto-imre,,
koczy-sziklai-csercsik-2022-esr2,C,2022,Energy Strategy Reviews,Nord Stream 2: A prelude to war,koczy-laszlo; sziklai-balazs; csercsik-david,,
baro-branyiczki-elek-2022-eja,C,2022,European Journal of Ageing,Time patterns of precautionary health behaviours during an easing phase of the COVID-19 pandemic in Europe,Anita Báró; branyiczki-reka; elek-peter,,
elekes-2021-eps-collab,C,2021,European Planning Studies,Repeated collaboration of inventors across European regions,elekes-zoltan,,
cepaluni-dorsch-branyiczki-2022-jpfpc,C,2022,Journal of Public Finance and Public Choice,Political regimes and deaths in the early stages of the COVID-19 pandemic,Gabriele Cepaluni; Michael T. Dorsch; branyiczki-reka,,
lorincz-2024-netsci,C,2024,Network Science,Business transactions and ownership ties between firms,lorincz-laszlo,,
csercsik-koczy-2017-nse,C,2017,Networks and Spatial Economics,Efficiency and stability in electrical power transmission networks: A partition function form approach,csercsik-david; koczy-laszlo,,
csercsik-2016-nse,C,2016,Networks and Spatial Economics,Competition and cooperation in a bidding model of electrical energy trade,csercsik-david,,
csercsik-habis-2015-nse,C,2015,Networks and Spatial Economics,Cooperation with externalities and uncertainty,csercsik-david; Helga Habis,,
lorincz-2023-plosone,C,2023,PLOS ONE,Firm production adjustment after demand shocks,lorincz-laszlo,,
keller-szakal-2021-plosone-encouragement,C,2021,PLOS ONE,"Effects of a light-touch randomized encouragement intervention on students' exam grades, self-efficacy, motivation, and test anxiety",keller-tamas; Péter Szakál,,
keller-takacs-2021-plosone-proximity,C,2021,PLOS ONE,Proximity can induce diverse friendships: A large randomized classroom experiment,keller-tamas; Károly Takács,,
barath-ferto-bojnec-2025-scirep,C,2025,Scientific Reports,Gender-based differences in eco-efficient farming,barath-lajos; ferto-imre; Štefan Bojnec,,
cervone-gaspar-et-al-2023-sir,C,2023,Social Indicators Research,A Twofold-Subjective Measure of Income Inequality,Carmen Cervone; gaspar-attila; et al.,,
